ivm2;ivm610;14
ivm2;ivm681;15
ivm308;ivm712;3
ivm32;ivm1007;2
ivm32;ivm985;1
ivm35;ivm1066;2
ivm35;ivm287;3
ivm365;ivm627;9
ivm366;ivm228;6
ivm366;ivm295;1
ivm368;ivm351;1
ivm3;ivm237;3
ivm435;ivm659;12
ivm438;ivm287;13
ivm438;ivm689;9
ivm43;ivm728;3
ivm462;ivm615;2
ivm463;ivm1009;1
ivm53;ivm767;6
ivm53;ivm780;7
ivm552;ivm272;12
ivm572;ivm585;1
ivm607;ivm227;1
ivm623;ivm454;21
ivm639;ivm342;3
ivm66;ivm239;3
ivm675;ivm278;9
ivm681;ivm610;1
ivm683;ivm548;1
ivm722;ivm637;1
ivm737;ivm364;1
ivm738;ivm558;12
ivm74;ivm675;4
ivm768;ivm709;1
ivm780;ivm767;1
ivm786;ivm754;5
ivm805;ivm282;6
ivm810;ivm275;9
ivm811;ivm514;11
ivm815;ivm279;7
ivm823;ivm271;10
ivm830;ivm532;10
ivm831;ivm534;8
ivm833;ivm695;13
ivm835;ivm540;1
ivm836;ivm696;1
ivm854;ivm279;7
ivm856;ivm838;4
ivm86;ivm597;6
ivm874;ivm554;6
ivm895;ivm321;9
ivm895;ivm556;12
ivm896;ivm558;5
ivm896;ivm738;6
ivm903;ivm743;3
ivm919;ivm484;4
ivm949;ivm465;6
ivm954;ivm575;16
ivm956;ivm453;2
ivm958;ivm675;9
ivm961;ivm533;11
ivm967;ivm734;23
ivm979;ivm689;6
ivm97;ivm865;7
ivm980;ivm568;4
ivm986;ivm514;6
ivm994;ivm494;2
ivm995;ivm919;4
ivm99;ivm176;13
ivm99;ivm185;17
